person,cnpj_basico,cnpj_14,razao_social,cnae_fiscal,situacao_cadastral,qualificacao_socio
FELIPE CANCADO VORCARO,10347621,10347621000108,RDM EMPREENDIMENTOS E COMERCIO LTDA,5611204,4,22
FELIPE CANCADO VORCARO,16550044,16550044000125,SLEEPWALKERS ENTRETENIMENTO SALVADOR LTDA,8230001,8,49
FELIPE CANCADO VORCARO,10839794,10839794000135,CONSULTORIO MEDICO DRA GISELLE SILVA COSTA MARTINS LTDA,8630503,2,22
FELIPE CANCADO VORCARO,19293173,19293173000173,EFF CONSULTORIA IMOBILIARIA LTDA,7319002,8,49
FELIPE CANCADO VORCARO,43267903,43267903000146,OUTLAND SOCIEDADE EMPRESARIA LTDA,5611205,2,49
FELIPE CANCADO VORCARO,44619244,44619244000122,NAVEGANTES NEGOCIOS IMOBILIARIOS LTDA,6810201,8,5
FELIPE CANCADO VORCARO,51239782,51239782000157,AUDACI IMPORTS LTDA,4511102,8,49
FELIPE CANCADO VORCARO,52981607,52981607000101,TERRA VISTA TRANCOSO XVI PARTICIPACOES LTDA,6462000,2,5
FELIPE CANCADO VORCARO,09426517,09426517000111,GLOBAL MIX DESENVOLVIMENTO IMOBILIARIOS LTDA,4120400,4,22
FELIPE CANCADO VORCARO,34606593,34606593000156,SW MASTER EVENTOS E PARTICIPACOES S/A,8230001,2,16
FELIPE CANCADO VORCARO,44619594,44619594000199,TRANCOSO ECO NEGOCIOS IMOBILIARIOS LTDA,6810201,8,5
FELIPE CANCADO VORCARO,44619651,44619651000130,TRES VALES NEGOCIOS IMOBILIARIOS LTDA,6810201,8,5
FELIPE CANCADO VORCARO,51415020,51415020000164,ASSET HOLDING S.A.,6462000,2,16
FELIPE CANCADO VORCARO,14495903,14495903000103,DINASTIA BOUTIQUE LTDA,4781400,2,49
FELIPE CANCADO VORCARO,15776163,15776163000138,HTC CULTURA EMPREENDIMENTOS E EVENTOS LTDA,8230001,2,49
FELIPE CANCADO VORCARO,18972439,18972439000141,RRJA PLASTICOS COMERCIO E ACESSORIOS LTDA,4759899,4,22
FELIPE CANCADO VORCARO,23781132,23781132000101,ARTHESIUM CONSULTORIA E TREINAMENTO LTDA,8599604,2,22
FELIPE CANCADO VORCARO,08576588,08576588000138,SLEEPWALKERS ENTRETENIMENTO LTDA,8230001,2,49
FELIPE CANCADO VORCARO,49514180,49514180000119,TOP PARTICIPACOES LTDA,6462000,8,22
FELIPE CANCADO VORCARO,04085351,04085351000101,AFONSO SALES - SERVICOS E COMERCIO LTDA,4729699,8,49
FELIPE CANCADO VORCARO,03050650,03050650000130,NUCLEO DE DIAGNOSTICO EM MEDICINA S/C LTDA,8650099,8,22
